Designator,Footprint,Quantity,Value,LCSC Part #
,,1,,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D4, D5, D6, D7, D8, D9",D_SOD-123,36,1N4148W,C909967
"H1, H2, H3, H4, H5, H6",MountingHole_2.2mm_M2_DIN965_Pad,6,MountingHole,
"H10, H7, H8, H9",Breakaway_Tabs,4,Breakaway Tabs,
"J1, J2",JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,2,Conn_01x03_Female,C157929
"M1, M2",xiao-ble-smd-cutout,2,XIAO-BLE,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW4, SW5, SW6, SW7, SW8, SW9",gateron-ks27-choc-v1-mx-soldered-and-hotswap,36,SW_Push,
"SW37, SW38",MSK-12C02,2,SW_DPDT,C431540
"U1, U2",SKQG-1155865,2,SW_Push,
